market,status,country_code,state_code,region,city,funding_rounds,funding_total_usd,funded_quarter
Consulting,operating,USA,DC,"Washington, D.C.",Washington,1,50000,2012-Q2
Health and Wellness,operating,USA,CA,SF Bay Area,San Francisco,2,13500000,2010-Q1
Biotechnology,operating,USA,TX,Dallas,Plano,1,100000000,2011-Q4
Nonprofits,operating,USA,AZ,Phoenix,Scottsdale,3,960000,2010-Q2
Software,operating,USA,TX,Dallas,Plano,4,43000000,2011-Q3
Biotechnology,operating,USA,MA,Boston,Waltham,1,250000000,2011-Q1
Biotechnology,operating,USA,MA,Boston,Boston,1,100000,2012-Q2
Consumer Goods,operating,USA,CA,Los Angeles,Los Angeles,1,250000,2012-Q4
E-Commerce,operating,USA,NC,Greensboro,Greensboro,1,2410000,2012-Q2
Software,operating,USA,GA,GA - Other,Hoschton,1,10000,2014-Q1
Education,operating,USA,IL,Chicago,Chicago,2,7500000,2010-Q4
Hardware + Software,operating,USA,CO,Denver,Denver,1,750000,2012-Q4
Video,operating,USA,CO,Denver,Lakewood,1,0,2011-Q3
Manufacturing,operating,USA,CA,San Diego,El Cajon,1,0,2013-Q3
Finance,operating,USA,NJ,Newark,Howell,1,0,2013-Q3
Insurance,operating,USA,TX,Austin,Austin,1,5000000,2014-Q1
Sports,operating,USA,CA,CA - Other,La,1,28000,2014-Q4
Recruiting,operating,USA,CO,Denver,Boulder,1,265000,2014-Q3
Health Care,operating,USA,NY,New York City,New York,2,0,2010-Q1
Curated Web,operating,USA,CA,SF Bay Area,San Francisco,2,22400000,2011-Q1
Search,operating,USA,MA,Boston,Boston,1,1500000,2012-Q3
Security,operating,USA,TX,Austin,Austin,1,9300000,2014-Q4
Health Care,operating,USA,IL,Chicago,Chicago,2,1415000,2014-Q2
Health and Wellness,operating,USA,MI,Lansing,Jackson,1,157000,2011-Q3
Software,operating,USA,TX,Dallas,Dallas,1,0,2011-Q1
Biotechnology,operating,USA,CA,San Diego,San Diego,1,7000000,2011-Q3
Hospitality,operating,USA,IL,Chicago,Chicago,1,7100000,2011-Q2
Search,operating,USA,WA,Seattle,Seattle,1,4750000,2013-Q4
Software,operating,USA,MN,Minneapolis,Saint Paul,1,1200000,2013-Q4
Transportation,operating,USA,NY,New York City,Brooklyn,1,0,2014-Q3
Biotechnology,operating,USA,VA,Roanoke,Danville,1,1080959,2011-Q3
Hospitality,operating,USA,CA,SF Bay Area,San Mateo,1,17000000,2014-Q2
Clean Technology,operating,USA,PA,Pittsburgh,Pittsburgh,1,350000,2011-Q3
Software,operating,USA,MN,Minneapolis,Burnsville,1,600000,2011-Q1
Real Estate,operating,USA,PA,Harrisburg,York,1,0,2010-Q4
Health and Wellness,operating,USA,UT,Salt Lake City,Salt Lake City,2,14300000,2013-Q4
Mobile,operating,USA,NY,New York City,New York,1,8000000,2014-Q1
Manufacturing,operating,USA,VA,Roanoke,Roanoke,1,0,2011-Q2
Finance,operating,USA,IN,Fort Wayne,Fort Wayne,3,1458786,2014-Q1
Clean Technology,operating,USA,PA,Philadelphia,Wayne,1,53000000,2011-Q4
Health and Wellness,operating,USA,NY,New York City,New York,1,118125,2013-Q4
Biotechnology,operating,USA,CA,San Diego,San Diego,1,490000,2012-Q3
Cloud Computing,operating,USA,UT,Salt Lake City,Tremonton,1,1000000,2014-Q3
Mobile,operating,USA,NE,NE - Other,Imperial,3,8135000,2014-Q2
Biotechnology,operating,USA,CA,SF Bay Area,Menlo Park,3,11587263,2014-Q1
Enterprise Software,operating,CAN,BC,Vancouver,Vancouver,2,7409591,2014-Q3
Biotechnology,operating,CAN,BC,Vancouver,Vancouver,2,11626182,2013-Q4
Public Relations,closed,USA,CA,SF Bay Area,Livermore,2,38000000,2014-Q2
Health and Wellness,operating,USA,OH,Cincinnati,Cincinnati,1,200000,2010-Q3
Biotechnology,operating,CAN,QC,Montreal,MontrŽal,1,15400000,2010-Q1
Carbon,operating,USA,CA,SF Bay Area,Oakland,1,5000000,2010-Q1
Education,operating,USA,MD,Baltimore,Baltimore,1,800000,2010-Q3
Advertising,operating,USA,NY,New York City,New York,1,30000000,2012-Q3
Biotechnology,operating,USA,WA,Seattle,Seattle,4,36902500,2014-Q4
Software,operating,USA,TX,Dallas,Addison,1,2449500,2014-Q2
Open Source,operating,USA,CO,Denver,Longmont,1,500000,2010-Q2
Sports,operating,USA,CA,SF Bay Area,San Francisco,5,2879987,2010-Q4
Finance,operating,USA,IL,Carthage,Carthage,3,4015000,2014-Q3
Curated Web,acquired,USA,MA,Boston,Cambridge,1,2000000,2014-Q3
Health Care,operating,USA,MA,Boston,Wellesley,3,4469794,2014-Q3
Telecommunications,acquired,USA,NY,"Rochester, New York",East Rochester,3,8500000,2011-Q1
Health and Wellness,operating,USA,CA,SF Bay Area,Fremont,1,200000,2013-Q4
Software,operating,USA,MA,Worcester,Hardwick,1,200000,2014-Q4
Agriculture,acquired,USA,CA,San Diego,San Diego,2,27200000,2014-Q1
Manufacturing,operating,CAN,ON,Toronto,Toronto,1,0,2012-Q1
Mobile,operating,USA,CA,SF Bay Area,Palo Alto,1,1525000,2010-Q3
Health and Wellness,operating,USA,CA,SF Bay Area,Palo Alto,1,9000000,2014-Q3
Advertising,operating,USA,NY,New York City,New York,2,5407657,2011-Q1
Health and Wellness,operating,USA,CO,Denver,Centennial,1,3700000,2012-Q3
Health Care,operating,USA,MA,Boston,Cambridge,2,710000000,2012-Q1
Mobile,closed,USA,MD,"Washington, D.C.",Rockville,1,445000,2014-Q2
Health and Wellness,operating,USA,NY,New York City,New York,1,4500000,2012-Q3
Mobile,operating,USA,CA,SF Bay Area,Palo Alto,2,2750000,2011-Q4
Mobile,operating,USA,TN,Nashville,Nashville,1,500000,2014-Q3
Software,operating,USA,CA,Ontario - Inland Empire,Chino,1,2620018,2014-Q2
Software,operating,USA,FL,Tampa,Palm Harbor,1,200000,2013-Q1
Technology,operating,USA,CA,SF Bay Area,Sunnyvale,1,1750000,2014-Q2
Clean Technology,operating,USA,CA,SF Bay Area,San Francisco,4,31000000,2011-Q4
Advertising,operating,USA,CA,Los Angeles,Los Angeles,1,1000000,2010-Q4
Stock Exchanges,operating,USA,CA,SF Bay Area,San Francisco,3,1400000,2012-Q1
Finance,operating,USA,PA,Pittsburgh,Pittsburgh,1,800000,2011-Q2
Financial Exchanges,operating,USA,NY,New York City,New York,1,1350000,2010-Q1
Computers,operating,USA,CA,SF Bay Area,Los Gatos,1,0,2012-Q1
DOD/Military,closed,USA,AZ,Phoenix,Scottsdale,1,0,2012-Q3
Health Care,operating,USA,CA,San Diego,Carlsbad,2,58950000,2011-Q3
Web Hosting,operating,USA,NJ,NJ - Other,Princeton Junction,2,22100000,2012-Q1
Big Data Analytics,operating,USA,CA,SF Bay Area,San Francisco,2,23500000,2010-Q4
Hardware + Software,operating,USA,CA,Anaheim,Huntington Beach,2,2132731,2013-Q4
Biotechnology,operating,USA,MA,Boston,Hopkinton,3,5900000,2010-Q3
Biotechnology,operating,USA,KY,Lexington,Lexington,3,3219763,2012-Q1
Mobile,operating,USA,CA,SF Bay Area,San Francisco,1,1260000,2013-Q4
Semiconductors,operating,USA,CA,SF Bay Area,Campbell,1,1700000,2014-Q3
Manufacturing,acquired,USA,CA,SF Bay Area,Santa Clara,1,72000000,2012-Q1
Biotechnology,closed,USA,CA,San Diego,San Diego,2,23466666,2014-Q3
Biotechnology,operating,USA,MD,Baltimore,Baltimore,1,46000,2010-Q2
Hospitality,operating,USA,OR,"Portland, Oregon",Lake Oswego,1,210000,2014-Q2
Clean Technology,operating,USA,WA,Seattle,Seattle,1,26250000,2012-Q3
Health and Wellness,closed,USA,CA,SF Bay Area,Sunnyvale,1,387996,2010-Q4
Entertainment,operating,USA,MD,"Washington, D.C.",Rockville,4,475000,2014-Q4
Biotechnology,operating,USA,GA,Atlanta,Atlanta,2,3685000,2010-Q1
Health Care,operating,USA,CA,SF Bay Area,Fremont,4,23000000,2011-Q3
Medical Devices,operating,USA,CA,SF Bay Area,Fremont,2,12310333,2013-Q1
Biotechnology,operating,USA,CA,Anaheim,Irvine,1,7000000,2013-Q1
Clean Technology,closed,USA,NY,Long Island,Uniondale,1,10000,2013-Q1
Software,acquired,USA,TX,Austin,Austin,3,26800000,2011-Q4
Data Integration,operating,USA,CA,Anaheim,Irvine,3,78000000,2013-Q3
Biotechnology,operating,USA,CA,San Diego,San Diego,3,10974363,2010-Q4
Biotechnology,closed,USA,CA,SF Bay Area,South San Francisco,2,32500000,2014-Q3
Biotechnology,operating,USA,OK,Oklahoma City,Oklahoma City,2,10055948,2014-Q1
Software,operating,USA,CO,Colorado Springs,Colorado Springs,1,1157500,2011-Q3
Wireless,operating,USA,CA,SF Bay Area,San Jose,6,85100000,2012-Q4
Public Relations,operating,USA,CA,SF Bay Area,San Jose,1,1000000,2014-Q2
Mobile,operating,USA,MA,Boston,Tewksbury,2,60500002,2013-Q1
Mobile,operating,USA,MA,Boston,Tewksbury,1,9500000,2012-Q4
Advertising,operating,USA,CO,Denver,Denver,3,12200000,2011-Q1
Education,acquired,USA,CA,SF Bay Area,San Francisco,2,26600000,2013-Q2
Retail,operating,USA,NY,New York City,New York,1,745000,2011-Q1
Biotechnology,operating,USA,FL,Pensacola,Miramar Beach,6,30561045,2013-Q4
Security,acquired,USA,CA,SF Bay Area,Redwood City,2,16000000,2011-Q1
Hardware + Software,operating,USA,CA,SF Bay Area,San Jose,1,1500000,2012-Q1
Search,acquired,USA,NY,New York City,New York,4,9499393,2011-Q2
Education,operating,USA,CA,SF Bay Area,San Francisco,2,33000000,2014-Q3
College Recruiting,operating,USA,CA,SF Bay Area,Oakland,1,0,2012-Q1
Finance,operating,USA,CA,Los Angeles,Santa Monica,1,125000,2010-Q3
Medical,operating,USA,NY,New York City,Woodmere,1,0,2014-Q2
Biotechnology,operating,USA,MA,Boston,Waltham,1,2000000,2011-Q4
Social Media Monitoring,acquired,USA,NY,New York City,New York,1,0,2014-Q4
Semiconductors,acquired,USA,CA,SF Bay Area,Los Gatos,3,64000000,2011-Q2
Health and Wellness,operating,USA,CA,San Diego,San Diego,1,75000,2010-Q1
Biotechnology,operating,USA,CA,SF Bay Area,Mountain View,1,20000000,2010-Q1
Technology,operating,CAN,QC,Montreal,Pointe-claire,1,800000,2010-Q1
Broadcasting,operating,USA,CA,SF Bay Area,Santa Clara,1,15400000,2012-Q4
Software,operating,USA,MI,Detroit,Royal Oak,4,18000,2012-Q2
Clean Technology,operating,USA,CA,SF Bay Area,Cupertino,3,3310000,2014-Q1
Public Relations,acquired,USA,CA,SF Bay Area,Fremont,2,0,2014-Q3
Curated Web,acquired,USA,CA,SF Bay Area,Oakland,2,28300000,2011-Q3
Semiconductors,operating,USA,NH,"Manchester, New Hampshire",Salem,3,26300000,2014-Q2
Health Care,operating,USA,MN,"Rochester, Minnesota",Rochester,1,1185800,2010-Q2
Hardware + Software,operating,USA,MA,Boston,Newton,1,5000000,2010-Q3
Pharmaceuticals,operating,USA,SC,SC - Other,North Augusta,1,23999970,2013-Q4
Semiconductors,operating,USA,MI,Detroit,Ann Arbor,8,36868609,2010-Q2
Biotechnology,acquired,USA,CA,San Diego,San Diego,5,113427869,2014-Q4
SaaS,operating,USA,TN,Chattanooga,Chattanooga,2,2000000,2011-Q4
Clean Technology,operating,USA,MA,Boston,Cambridge,3,50000000,2014-Q2
Biotechnology,operating,USA,CA,San Diego,La Jolla,1,10000000,2012-Q1
Consulting,operating,USA,VA,"Washington, D.C.",Herndon,1,0,2014-Q4
Software,acquired,USA,MN,Minneapolis,Eden Prairie,1,0,2010-Q2
Biotechnology,operating,USA,CA,"Orange County, California",Tustin,1,1327250,2014-Q2
Health Care,operating,USA,UT,Salt Lake City,Salt Lake City,5,129625000,2014-Q1
Public Relations,operating,USA,CA,SF Bay Area,Sunnyvale,1,0,2011-Q4
Biotechnology,operating,USA,GA,Atlanta,Marietta,2,3730000,2013-Q3
Networking,operating,USA,NY,NY - Other,Clarence Center,1,0,2014-Q2
Biotechnology,operating,USA,TN,Nashville,Brentwood,4,8877015,2013-Q4
Real Estate,operating,USA,CA,Anaheim,Orange,1,4000000,2014-Q4
Health and Wellness,operating,USA,GA,Atlanta,Norcross,1,1300000,2013-Q4
Nonprofits,operating,USA,MD,"Washington, D.C.",Chevy Chase,1,2000000,2014-Q2
Biotechnology,operating,USA,TX,Dallas,Dallas,3,9520000,2011-Q1
Trading,operating,USA,NY,New York City,New York,1,170000,2014-Q3
Medical,operating,USA,IN,Indianapolis,Indianapolis,1,0,2013-Q3
E-Commerce,operating,USA,CA,SF Bay Area,San Francisco,1,1399996,2013-Q1
Legal,operating,USA,AR,Little Rock,Little Rock,1,3000000,2012-Q2
Biotechnology,operating,USA,OH,"Columbus, Ohio",Columbus,2,217708,2012-Q2
Health and Wellness,operating,USA,CA,Anaheim,Irvine,1,263500,2011-Q1
Health and Wellness,operating,USA,NY,Long Island,Jericho,1,296487,2010-Q4
Health and Wellness,operating,USA,TN,Nashville,Franklin,2,1612500,2013-Q1
Pets,operating,USA,TX,Houston,Richmond,1,325000,2011-Q2
Medical,operating,USA,FL,FL - Other,Belleair Beach,1,100000,2010-Q4
Biotechnology,operating,USA,MN,Minneapolis,Eden Prairie,1,1350000,2010-Q2
News,operating,USA,VA,Norfolk - Virginia Beach,Virginia Beach,1,0,2014-Q1
Biotechnology,operating,USA,MA,Boston,Boston,2,47149345,2012-Q2
Portals,operating,USA,CT,Hartford,Fairfield,2,4400000,2010-Q3
Health Care,operating,USA,FL,Palm Beaches,Palm Beach Gardens,1,0,2012-Q1
Real Estate,operating,USA,CA,SF Bay Area,Fremont,1,0,2013-Q3
Entertainment,operating,USA,NY,Long Island,Port Washington,1,0,2014-Q2
Education,operating,USA,UT,Salt Lake City,Provo,1,6800000,2010-Q1
Manufacturing,operating,USA,NV,Las Vegas,Boulder City,3,878000,2012-Q1
Enterprise Software,operating,USA,FL,Miami,Miami,1,40000,2013-Q1
Games,operating,USA,IL,Chicago,Willowbrook,2,2115176,2014-Q4
Analytics,operating,USA,CA,SF Bay Area,Palo Alto,1,2000000,2011-Q2
Nonprofits,operating,USA,NY,New York City,New York,2,3780000,2012-Q1
Consulting,operating,USA,AR,Little Rock,Little Rock,1,0,2014-Q3
Health Care,operating,USA,NJ,Newark,Cranbury,4,74866943,2012-Q3
Curated Web,acquired,USA,NY,New York City,Long Island City,2,3900000,2014-Q4
Health and Wellness,operating,USA,UT,Salt Lake City,Salt Lake City,2,1750000,2010-Q3
Biotechnology,operating,USA,WA,Seattle,Kenmore,2,2002697,2012-Q2
Communities,operating,USA,MA,Boston,Boston,1,1650000,2013-Q3
Software,closed,USA,CA,SF Bay Area,San Mateo,1,16000000,2013-Q4
Software,operating,CAN,ON,Toronto,Toronto,1,100000,2014-Q1
Health and Wellness,operating,USA,CT,Hartford,Waterbury,1,1878538,2010-Q1
Energy,operating,USA,FL,Florida's Space Coast,Melbourne,1,202125,2013-Q4
Mobile,operating,USA,CA,SF Bay Area,Santa Clara,1,0,2010-Q3
Advertising,acquired,USA,CA,SF Bay Area,Redwood City,6,72000000,2011-Q2
Clean Technology,operating,USA,CA,Los Angeles,Torrance,2,169400000,2012-Q1
Biotechnology,acquired,USA,NJ,Newark,Allendale,2,1025000,2013-Q3
Biotechnology,operating,CAN,ON,Toronto,Toronto,9,1625039,2012-Q3
Smart Grid,operating,USA,MA,Boston,Lawrence,1,2900000,2010-Q2
Hardware + Software,operating,USA,CA,SF Bay Area,Redwood City,1,5000000,2011-Q3
Biotechnology,operating,USA,CA,SF Bay Area,San Francisco,1,14000000,2010-Q1
Biotechnology,operating,USA,MN,Minneapolis,Minneapolis,2,600000,2012-Q2
Biotechnology,operating,USA,CA,San Diego,La Jolla,3,7265271,2012-Q2
Hardware + Software,operating,USA,CA,SF Bay Area,Fremont,1,10500000,2010-Q4
E-Commerce,operating,USA,NY,New York City,New York,3,9685264,2010-Q1
Brand Marketing,operating,USA,MI,Detroit,Ann Arbor,3,10100000,2014-Q4
Health Care,operating,USA,CA,SF Bay Area,San Francisco,1,0,2013-Q2
Biotechnology,closed,USA,AZ,Tucson,Tucson,2,9140433,2014-Q3
Health Care,operating,USA,TN,Nashville,Nashville,3,6706000,2010-Q1
SaaS,operating,USA,CA,SF Bay Area,San Francisco,2,2000000,2011-Q3
Nanotechnology,operating,USA,CA,SF Bay Area,Sunnyvale,2,55000000,2013-Q2
Software,operating,USA,CA,Los Angeles,Los Angeles,1,0,2014-Q1
Legal,operating,USA,CO,Denver,Golden,4,15980000,2010-Q4
Public Relations,operating,USA,PA,Philadelphia,Newtown Square,1,0,2011-Q2
Clean Technology,operating,USA,MA,Boston,Devens,1,25000000,2011-Q4
Real Estate,operating,USA,NY,"Albany, New York",Amsterdam,1,0,2013-Q4
Biotechnology,closed,USA,MD,"Washington, D.C.",Rockville,1,1700000,2011-Q3
Health Care,operating,USA,CA,SF Bay Area,Mountain View,2,255000,2012-Q3
Logistics,operating,USA,CO,Vail,Eagle,1,0,2013-Q2
Chemicals,operating,USA,CA,SF Bay Area,Emeryville,10,417040423,2010-Q2
Software,operating,USA,MD,Baltimore,Baltimore,1,100000,2014-Q3
Analytics,operating,USA,CA,San Diego,San Diego,1,1318297,2010-Q1
Consulting,acquired,USA,CA,San Diego,San Diego,1,7500000,2010-Q4
Health Care,operating,USA,CA,SF Bay Area,Palo Alto,7,191500000,2011-Q1
Clean Technology,operating,CAN,ON,Toronto,Toronto,1,46256055,2011-Q4
Software,operating,USA,CA,Los Angeles,Torrance,1,0,2013-Q2
Web Hosting,closed,USA,CA,SF Bay Area,Sunnyvale,2,22600000,2014-Q4
Semiconductors,operating,USA,CA,SF Bay Area,Santa Clara,3,39400000,2012-Q3
Health Care,operating,USA,IL,Chicago,Chicago,5,38550000,2012-Q2
Biotechnology,operating,USA,CO,Denver,Denver,1,700000,2013-Q4
Enterprise Software,operating,CAN,NS,Halifax,Halifax,1,1400000,2010-Q1
Internet,acquired,USA,CA,San Diego,San Diego,3,5550000,2014-Q3
Biotechnology,closed,USA,CA,San Diego,La Jolla,3,24300000,2011-Q2
Enterprise Software,operating,USA,CA,SF Bay Area,San Francisco,3,144400000,2011-Q1
Analytics,operating,USA,CA,SF Bay Area,San Francisco,1,100000,2012-Q4
Internet,operating,USA,UT,Salt Lake City,Provo,2,333200000,2014-Q2
Web Hosting,operating,USA,CA,SF Bay Area,San Jose,1,7000000,2011-Q2
Software,operating,USA,NY,New York City,Kingston,2,590000,2013-Q2
Advertising,closed,USA,CA,SF Bay Area,Mountain View,2,6000000,2013-Q4
Biotechnology,operating,USA,MA,Boston,Cambridge,1,10000000,2014-Q2
Mobile,operating,USA,CA,SF Bay Area,Sunnyvale,1,10500000,2012-Q3
Water Purification,operating,USA,IL,"Springfield, Illinois",Champaign,3,2277608,2014-Q1
Software,operating,USA,NY,New York City,New York,1,3000000,2013-Q1
Finance,acquired,USA,RI,Providence,Providence,2,9350000,2011-Q3
Aerospace,operating,USA,OH,Akron - Canton,Kent,1,250000,2010-Q2
Biotechnology,acquired,USA,IL,Rockford,Rockford,1,75000000,2010-Q4
Semiconductors,closed,USA,AZ,Phoenix,Tempe,1,18000000,2011-Q1
Education,operating,USA,CT,Hartford,Westport,1,650000,2014-Q1
Fashion,operating,USA,TX,Dallas,Little Elm,1,50000,2014-Q4
Biotechnology,operating,USA,CA,"Orange County, California",Tustin,2,13261453,2014-Q1
Software,operating,USA,CT,Hartford,Cheshire,1,1000000,2010-Q1
Biotechnology,operating,USA,TX,Houston,Galveston,1,1307000,2012-Q4
Biotechnology,operating,USA,NY,New York City,New York,1,500000,2013-Q3
Biotechnology,closed,USA,MO,Kansas City,Independence,1,400000,2014-Q3
Consulting,operating,USA,OR,Eugene,Eugene,1,0,2010-Q1
Mobile,operating,USA,OH,Cleveland,Cleveland,1,0,2012-Q1
Nonprofits,operating,USA,LA,Baton Rouge,Baton Rouge,1,1300000,2012-Q1
Hospitality,operating,USA,AZ,Phoenix,Phoenix,1,0,2010-Q1
Biotechnology,operating,USA,CA,SF Bay Area,South San Francisco,2,5000000,2014-Q4
Health Care,operating,USA,TN,Nashville,Nashville,1,0,2010-Q2
Biotechnology,operating,USA,CA,SF Bay Area,Los Altos,1,1110000,2011-Q3
Analytics,operating,USA,CA,SF Bay Area,Mountain View,4,329600,2014-Q3
Education,operating,USA,FL,Pensacola,Pensacola,1,0,2010-Q1
Databases,operating,USA,CA,SF Bay Area,San Francisco,2,24100000,2011-Q3
Finance,operating,USA,CA,SF Bay Area,San Francisco,2,1500000,2010-Q3
Advertising,operating,USA,IN,Indianapolis,Indianapolis,9,182600000,2014-Q1
Biotechnology,operating,USA,NY,New York City,New York,1,3999999,2010-Q1
Health and Wellness,operating,USA,CA,SF Bay Area,Mountain View,1,1800000,2014-Q1
Biotechnology,acquired,USA,CA,SF Bay Area,Fremont,2,42000000,2014-Q3
Health Care,operating,USA,CO,Denver,Wheat Ridge,6,30150000,2014-Q2
Venture Capital,operating,USA,NY,New York City,New York,1,0,2012-Q3
Software,acquired,USA,CA,SF Bay Area,Palo Alto,1,225000,2012-Q4
Health Care,operating,USA,CA,San Diego,San Diego,3,3801500,2010-Q3
Biotechnology,operating,USA,IN,Indianapolis,West Lafayette,1,150000,2014-Q3
Software,closed,USA,CA,SF Bay Area,San Francisco,1,250000,2013-Q1
Virtual Worlds,operating,USA,CA,SF Bay Area,Mountain View,1,150000,2010-Q4
Bioinformatics,operating,USA,FL,Tallahassee,Tallahassee,1,0,2014-Q2
Entertainment,operating,USA,CA,SF Bay Area,San Francisco,2,105000000,2013-Q1
Non Profit,operating,USA,MI,Detroit,Ann Arbor,1,500000,2010-Q1
Health Care,operating,USA,CA,SF Bay Area,Los Gatos,6,13593104,2011-Q3
Fashion,operating,USA,NY,New York City,New York,1,0,2013-Q4
Biotechnology,operating,USA,CA,SF Bay Area,Palo Alto,1,999999,2014-Q3
Hardware + Software,operating,CAN,ON,Ottawa,Ottawa,1,5000000,2010-Q2
Biotechnology,operating,USA,MA,Boston,Wayland,3,10375000,2011-Q2
Enterprise Software,acquired,USA,GA,Atlanta,Alpharetta,1,5600000,2014-Q1
Software,operating,USA,CA,SF Bay Area,San Francisco,1,0,2011-Q3
Social Media,operating,USA,WA,Seattle,Bellevue,3,1372725,2012-Q3
Online Dating,operating,USA,NY,New York City,New York,2,35000,2012-Q2
Messaging,operating,USA,CA,Los Angeles,Malibu,1,1500000,2011-Q1
Opinions,closed,USA,FL,Fort Myers,Cape Coral,1,200000,2010-Q4
Advertising,operating,USA,MO,St. Louis,St Louis,1,0,2013-Q2
Consumer Internet,operating,CAN,ON,Toronto,Markham,1,10000,2014-Q1
Location Based Services,operating,USA,CA,San Diego,La Jolla,4,400000,2010-Q1
Nanotechnology,operating,USA,NY,New York City,New York,6,17194549,2014-Q2
Health Care,closed,USA,TN,Nashville,Franklin,1,4800000,2010-Q3
Reputation,closed,USA,PA,Philadelphia,Philadelphia,1,0,2011-Q3
Software,operating,USA,CA,SF Bay Area,Santa Clara,1,10000000,2012-Q1
